t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
1.930000,2.291474328e-02,7.614543584e-02,4.075271155e-02,3.806352065e-02,1.134017255e-04,1.159879557e-01,0.000000000e+00,1.242114746e-02,1.554721e-15,9.813078e-18,3.529907e-18,2.363353e-03
1.940000,2.279332179e-02,7.573932988e-02,4.053576832e-02,3.786061404e-02,1.093771882e-04,1.147711611e-01,0.000000000e+00,1.228907873e-02,1.556543e-15,1.170938e-17,4.610091e-18,2.397492e-03
1.950000,2.267248514e-02,7.533538431e-02,4.031997753e-02,3.765878529e-02,1.054891823e-04,1.135667004e-01,0.000000000e+00,1.215841219e-02,1.555088e-15,7.961322e-18,5.898698e-18,2.396901e-03
1.960000,2.255223384e-02,7.493358771e-02,4.010533284e-02,3.745802873e-02,1.017331704e-04,1.123746706e-01,0.000000000e+00,1.202913299e-02,1.554712e-15,1.517883e-17,6.075403e-18,2.402692e-03
1.970000,2.243256827e-02,7.453392871e-02,3.989182793e-02,3.725833873e-02,9.810476176e-05,1.111951620e-01,0.000000000e+00,1.190122640e-02,1.554336e-15,1.788112e-17,6.377469e-18,2.289434e-03
1.980000,2.231348868e-02,7.413639600e-02,3.967945655e-02,3.705970965e-02,9.459970841e-05,1.100282584e-01,0.000000000e+00,1.177467786e-02,1.112851e-15,9.107298e-18,7.178696e-18,2.371802e-03
1.990000,2.219499520e-02,7.374097836e-02,3.946821248e-02,3.686213592e-02,9.121390019e-05,1.088740375e-01,0.000000000e+00,1.164947297e-02,2.220983e-15,4.336809e-19,5.834579e-18,2.277494e-03
2.000000,2.207708788e-02,7.334766458e-02,3.925808959e-02,3.666561197e-02,8.794336061e-05,1.077325709e-01,0.000000000e+00,1.152559748e-02,2.220500e-15,6.992894e-18,6.209365e-18,2.429771e-03
2.010000,2.195976661e-02,7.295644354e-02,3.904908176e-02,3.647013228e-02,8.478424269e-05,1.066039243e-01,0.000000000e+00,1.140303729e-02,2.664572e-15,1.636535e-17,1.063403e-17,2.389252e-03
2.020000,2.184303122e-02,7.256730417e-02,3.884118294e-02,3.627569135e-02,8.173282485e-05,1.054881578e-01,0.000000000e+00,1.128177845e-02,1.776852e-15,1.084202e-17,7.663400e-18,2.521449e-03
2.030000,2.172688142e-02,7.218023545e-02,3.863438711e-02,3.608228369e-02,7.878550700e-05,1.043853257e-01,0.000000000e+00,1.116180716e-02,2.664864e-15,2.324546e-17,7.178696e-18,2.343543e-03
2.040000,2.161131682e-02,7.179522642e-02,3.842868831e-02,3.588990387e-02,7.593880673e-05,1.032954773e-01,0.000000000e+00,1.104310977e-02,2.220557e-15,9.107298e-18,8.553524e-18,2.356513e-03
2.050000,2.149633693e-02,7.141226620e-02,3.822408062e-02,3.569854646e-02,7.318935556e-05,1.022186565e-01,0.000000000e+00,1.092567278e-02,2.442742e-15,1.301043e-18,6.887884e-18,2.346053e-03
2.060000,2.138194118e-02,7.103134392e-02,3.802055814e-02,3.550820607e-02,7.053389535e-05,1.011549018e-01,0.000000000e+00,1.080948281e-02,1.115809e-15,1.287236e-17,4.165369e-18,2.458521e-03
2.070000,2.126812892e-02,7.065244880e-02,3.781811506e-02,3.531887735e-02,6.796927487e-05,1.001042473e-01,0.000000000e+00,1.069452665e-02,2.220500e-15,2.081668e-17,6.562782e-18,2.346773e-03
2.080000,2.115489939e-02,7.027557012e-02,3.761674556e-02,3.513055495e-02,6.549244631e-05,9.906672182e-02,0.000000000e+00,1.058079121e-02,1.776594e-15,2.156663e-17,1.262339e-17,2.293865e-03
2.090000,2.104225177e-02,6.990069719e-02,3.741644389e-02,3.494323357e-02,6.310046208e-05,9.804234977e-02,0.000000000e+00,1.046826357e-02,1.998420e-15,1.398579e-17,9.117618e-18,2.451771e-03
2.100000,2.093018516e-02,6.952781939e-02,3.721720433e-02,3.475690792e-02,6.079047161e-05,9.703115087e-02,0.000000000e+00,1.035693090e-02,1.332284e-15,1.430490e-17,9.863261e-18,2.297414e-03
