t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
8.850000,1.902440678e-05,1.850456533e-04,1.396203934e-04,9.252283815e-05,1.040708513e-04,2.219982786e-01,1.956962976e+01,1.812652704e-06,1.802674200e-02,2.220450e-15,7.604146e-18,1.913548e-18,1.158208e-02
8.900000,2.113431872e-05,1.858777800e-04,1.331901590e-04,9.293890028e-05,1.032836720e-04,2.233385246e-01,1.946566738e+01,1.817592755e-06,1.803457346e-02,1.998500e-15,5.934131e-18,9.648963e-19,8.659946e-03
8.950000,2.309263412e-05,1.865536901e-04,1.283244861e-04,9.327686203e-05,1.024544546e-04,2.245006017e-01,1.935907317e+01,1.820201876e-06,1.803838120e-02,3.109808e-15,1.285779e-17,7.887716e-19,8.615087e-03
9.000000,2.490238139e-05,1.870698970e-04,1.247666821e-04,9.353495957e-05,1.015823553e-04,2.254787625e-01,1.925032319e+01,1.820348544e-06,1.803787053e-02,1.998994e-15,6.359296e-18,1.784984e-18,8.601057e-03
9.050000,2.657958475e-05,1.874231685e-04,1.222954044e-04,9.371159460e-05,1.006704419e-04,2.262685024e-01,1.913990676e+01,1.817957672e-06,1.803278687e-02,1.998409e-15,9.830345e-18,1.773121e-18,8.581447e-03
9.100000,2.814356988e-05,1.876107443e-04,1.207264867e-04,9.380538556e-05,9.972429570e-05,2.268673109e-01,1.902832440e+01,1.812996906e-06,1.802290252e-02,2.442551e-15,1.034440e-17,1.037811e-18,8.599057e-03
9.150000,2.961301911e-05,1.876304515e-04,1.199098651e-04,9.381524253e-05,9.875121375e-05,2.272750586e-01,1.891608483e+01,1.805469233e-06,1.800801437e-02,3.108680e-15,1.296778e-17,1.776135e-18,8.632847e-03
9.200000,3.100446391e-05,1.874808770e-04,1.197250016e-04,9.374044831e-05,9.775975988e-05,2.274942704e-01,1.880370167e+01,1.795409328e-06,1.798794688e-02,1.776359e-15,1.945115e-17,1.183990e-18,8.756635e-03
9.250000,3.233184744e-05,1.871614534e-04,1.200759982e-04,9.358074034e-05,9.675952036e-05,2.275303346e-01,1.869168967e+01,1.782882108e-06,1.796255767e-02,2.665121e-15,6.390090e-18,1.573154e-18,8.964873e-03
9.300000,3.360656041e-05,1.866727576e-04,1.208868717e-04,9.333639183e-05,9.576097792e-05,2.273916505e-01,1.858056060e+01,1.767982540e-06,1.793174420e-02,2.444338e-15,5.002861e-18,1.756104e-18,8.868524e-03
9.350000,3.483767682e-05,1.860165567e-04,1.220972045e-04,9.300829145e-05,9.477544830e-05,2.270896945e-01,1.847081890e+01,1.750836052e-06,1.789545117e-02,2.454557e-15,1.147961e-17,2.582502e-18,8.657227e-03
9.400000,3.603226014e-05,1.851960197e-04,1.236582786e-04,9.259802073e-05,9.381504207e-05,2.266389895e-01,1.836295705e+01,1.731599120e-06,1.785367808e-02,2.000447e-15,1.290186e-17,2.024764e-18,8.599308e-03
9.450000,3.719567847e-05,1.842158378e-04,1.255297384e-04,9.210792788e-05,9.289262598e-05,2.260569613e-01,1.825745072e+01,1.710459717e-06,1.780648683e-02,1.777378e-15,3.391760e-17,3.906799e-18,8.625377e-03
9.500000,3.833190016e-05,1.830823686e-04,1.276767905e-04,9.154119648e-05,9.202176525e-05,2.253636704e-01,1.815475390e+01,1.687637397e-06,1.775400878e-02,2.220526e-15,3.690709e-18,2.793612e-18,8.703716e-03
