t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208955576e-02,3.139973410e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.309405e-02
0.050000,7.845241324e-04,1.439585801e-03,1.203300779e-02,7.197928399e-04,3.220035840e-04,2.914554912e-01,3.207548301e+01,7.737094260e-05,1.249583370e+00,2.443150e-15,2.363861e-18,2.252534e-19,8.611679e-03
0.100000,3.136289230e-04,8.057020845e-04,1.131213245e-02,4.028510328e-04,1.433776326e-04,3.252375338e-01,3.232441605e+01,6.544493913e-05,1.215034241e-01,1.111241e-15,2.328402e-18,7.909673e-20,8.701928e-03
0.150000,1.324841375e-04,5.548007894e-04,4.072414211e-03,2.774003931e-04,1.048740644e-04,2.610092711e-01,3.175620971e+01,8.995875133e-06,7.421141179e-02,1.117013e-15,1.521242e-18,1.259205e-19,1.118287e-02
0.200000,8.824639768e-05,4.280190542e-04,2.342871447e-03,2.140095285e-04,1.030824927e-04,2.465213158e-01,3.158936173e+01,3.195931938e-06,2.086736760e-02,1.334556e-15,2.762558e-18,1.236552e-19,8.647619e-03
0.250000,7.890252518e-05,3.357624042e-04,1.793121700e-03,1.678812047e-04,1.075921611e-04,2.366394641e-01,3.153765972e+01,1.925724092e-06,8.556570410e-03,1.116027e-15,6.595042e-18,3.972788e-19,8.539959e-03
0.300000,7.947100730e-05,2.642537191e-04,1.453185775e-03,1.321268668e-04,1.140507584e-04,2.259527412e-01,3.151679777e+01,1.299595123e-06,5.762041635e-03,2.002886e-15,8.887524e-18,8.514367e-20,1.313771e-02
0.350000,8.387551533e-05,2.098271595e-04,1.188135096e-03,1.049135871e-04,1.208531414e-04,2.138000492e-01,3.150447541e+01,9.107312433e-07,4.799155868e-03,1.585069e-15,9.677809e-18,4.464704e-19,1.309498e-02
0.400000,8.968354207e-05,1.705870251e-04,9.734141162e-04,8.529352206e-05,1.272243448e-04,2.001937861e-01,3.149420744e+01,6.614556713e-07,4.221971601e-03,1.554312e-15,4.470398e-18,3.521168e-19,1.267333e-02
0.450000,9.562800931e-05,1.450742066e-04,7.983781757e-04,7.253711679e-05,1.328438027e-04,1.852840701e-01,3.148414172e+01,5.019767294e-07,3.799231835e-03,2.000432e-15,5.490616e-19,3.672725e-19,8.504019e-03
