t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.200000,8.835150620e-05,4.280175248e-04,2.342713593e-03,2.140087647e-04,1.030689729e-04,2.465050708e-01,3.158942737e+01,1.049704223e-05,1.925181997e-02,1.779020e-15,5.440047e-18,1.371697e-19,9.304191e-03
0.250000,7.899073749e-05,3.357617362e-04,1.792904482e-03,1.678808730e-04,1.075490881e-04,2.366108775e-01,3.153769554e+01,6.579363500e-06,1.851049925e-02,2.001359e-15,1.551277e-18,2.078591e-19,8.856542e-03
0.300000,7.946848588e-05,2.642535780e-04,1.452955674e-03,1.321267942e-04,1.139767656e-04,2.259250846e-01,3.151682262e+01,4.368366579e-06,1.849443479e-02,1.560528e-15,6.150711e-18,4.892085e-19,9.155751e-03
0.350000,8.375395879e-05,2.098273034e-04,1.187916086e-03,1.049136597e-04,1.207447771e-04,2.137779666e-01,3.150449639e+01,3.049844520e-06,1.854121723e-02,1.777747e-15,1.208510e-17,6.671826e-19,9.308471e-03
0.400000,8.943965957e-05,1.705873948e-04,9.732245734e-04,8.529370509e-05,1.270798974e-04,2.001784061e-01,3.149422715e+01,2.283557628e-06,1.860700569e-02,1.340634e-15,1.351584e-17,4.029139e-19,8.680082e-03
0.450000,9.526807012e-05,1.450748158e-04,7.982337714e-04,7.253742162e-05,1.326635579e-04,1.852751846e-01,3.148416106e+01,1.864441766e-06,1.868154643e-02,2.014200e-15,5.220960e-18,6.009054e-19,9.317022e-03
0.500000,1.006160791e-04,1.314399662e-04,6.553315669e-04,6.571999929e-05,1.374122009e-04,1.692505826e-01,3.147383538e+01,1.661073178e-06,1.876127962e-02,2.008120e-15,1.720591e-17,2.747033e-18,9.446431e-03
0.550000,1.052222950e-04,1.269454472e-04,5.385395967e-04,6.347273842e-05,1.413527447e-04,1.522956061e-01,3.146320409e+01,1.588842549e-06,1.884488848e-02,1.778649e-15,1.141357e-17,9.027770e-19,8.663542e-03
0.600000,1.090165455e-04,1.284046817e-04,4.430720490e-04,6.420235517e-05,1.445586554e-04,1.346042810e-01,3.145234503e+01,1.593555400e-06,1.893172886e-02,1.782505e-15,7.643855e-18,6.120325e-19,8.999201e-03
0.650000,1.120227706e-04,1.330842820e-04,3.650513199e-04,6.654214943e-05,1.471188172e-04,1.163737050e-01,3.144137045e+01,1.640846313e-06,1.902129792e-02,1.110627e-15,5.692427e-18,9.050416e-19,1.342547e-02
0.700000,1.143071574e-04,1.391375035e-04,3.013074845e-04,6.956876492e-05,1.491229124e-04,9.780885117e-02,3.143039839e+01,1.709268909e-06,1.911309377e-02,1.784293e-15,9.256309e-18,5.669313e-19,1.309761e-02
0.750000,1.159514296e-04,1.455011431e-04,2.492346507e-04,7.275058726e-05,1.506549159e-04,7.913764104e-02,3.141954264e+01,1.785758774e-06,1.920659425e-02,2.223448e-15,1.036499e-17,7.968017e-19,1.010160e-02
0.800000,1.170395305e-04,1.516305467e-04,2.066845982e-04,7.581528342e-05,1.517905535e-04,6.065639234e-02,3.140890844e+01,1.862647298e-06,1.930126289e-02,1.561018e-15,1.891772e-17,1.874551e-19,8.844642e-03
0.850000,1.176513164e-04,1.572812531e-04,1.718859173e-04,7.864063502e-05,1.525966819e-04,4.288815414e-02,3.139859029e+01,1.935698193e-06,1.939655779e-02,1.357586e-15,8.151948e-18,8.151221e-19,8.806042e-03
