t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.320000,3.811005321e-02,1.784499449e-01,9.515994359e-02,8.910663150e-02,1.859927252e-02,3.327803824e-01,0.000000000e+00,7.081510515e-02,2.483598e-16,2.168404e-18,1.101626e-17,1.633664e-03
0.330000,3.820904149e-02,1.775943116e-01,9.520494491e-02,8.868050850e-02,1.818283758e-02,3.106320589e-01,0.000000000e+00,7.009077612e-02,3.402403e-16,1.902273e-17,1.301765e-17,1.631294e-03
0.340000,3.830445940e-02,1.767365723e-01,9.519141498e-02,8.825332040e-02,1.777047699e-02,2.896929589e-01,0.000000000e+00,6.936621006e-02,3.511736e-16,3.705371e-17,2.819009e-17,1.640305e-03
0.350000,3.839614371e-02,1.758772155e-01,9.512437021e-02,8.782531045e-02,1.736251299e-02,2.699278234e-01,0.000000000e+00,6.864225901e-02,3.348915e-16,3.522172e-17,1.094776e-17,1.635014e-03
0.360000,3.848394655e-02,1.750166926e-01,9.500847078e-02,8.739670345e-02,1.695923613e-02,2.513088708e-01,0.000000000e+00,6.791970048e-02,8.891642e-16,1.989740e-17,6.209365e-18,1.703043e-03
0.370000,3.856773488e-02,1.741554206e-01,9.484804387e-02,8.696770715e-02,1.656090731e-02,2.338161475e-01,0.000000000e+00,6.719924161e-02,1.144950e-16,5.129182e-17,1.226635e-18,1.635524e-03
0.380000,3.864738985e-02,1.732937847e-01,9.464710536e-02,8.653851344e-02,1.616775964e-02,2.174379247e-01,0.000000000e+00,6.648152335e-02,2.498036e-16,1.170938e-17,1.125901e-17,1.638555e-03
0.390000,3.872280625e-02,1.724321404e-01,9.440938010e-02,8.610929953e-02,1.578000024e-02,2.021710927e-01,0.000000000e+00,6.576712451e-02,4.783531e-16,4.561902e-17,8.940560e-19,1.631864e-03
0.400000,3.879389191e-02,1.715708161e-01,9.413832104e-02,8.568022902e-02,1.539781191e-02,1.880214617e-01,0.000000000e+00,6.505656580e-02,2.222072e-16,2.103352e-17,7.410742e-18,1.634864e-03
0.410000,3.886056710e-02,1.707101146e-01,9.383712699e-02,8.525145286e-02,1.502135473e-02,1.750038185e-01,0.000000000e+00,6.435031370e-02,3.544298e-16,2.085730e-17,4.125671e-18,1.699164e-03
0.420000,3.892276394e-02,1.698503150e-01,9.350875935e-02,8.482311027e-02,1.465076759e-02,1.631415041e-01,0.000000000e+00,6.364878425e-02,5.564651e-17,9.660965e-18,5.654507e-18,1.631324e-03
0.430000,3.898042585e-02,1.689916748e-01,9.315595781e-02,8.439532963e-02,1.428616956e-02,1.524651887e-01,0.000000000e+00,6.295234667e-02,1.113209e-16,2.832238e-17,7.996680e-18,1.646606e-03
0.440000,3.903350696e-02,1.681344311e-01,9.278125498e-02,8.396822923e-02,1.392766130e-02,1.430104461e-01,0.000000000e+00,6.226132679e-02,3.333740e-16,1.696491e-17,1.889376e-17,1.632835e-03
0.450000,3.908197155e-02,1.672788023e-01,9.238699023e-02,8.354191800e-02,1.357532626e-02,1.348137445e-01,0.000000000e+00,6.157601035e-02,6.844232e-16,2.576298e-17,2.232509e-18,1.648976e-03
0.460000,3.912579353e-02,1.664249893e-01,9.197532253e-02,8.311649623e-02,1.322923193e-02,1.279066540e-01,0.000000000e+00,6.089664615e-02,2.247961e-16,3.250293e-17,1.634810e-17,1.708824e-03
0.470000,3.916495585e-02,1.655731767e-01,9.154824261e-02,8.269205614e-02,1.288943094e-02,1.223085275e-01,0.000000000e+00,6.022344899e-02,2.484446e-16,1.127570e-17,5.249151e-18,1.636245e-03
0.480000,3.919945003e-02,1.647235345e-01,9.110758428e-02,8.226868252e-02,1.255596215e-02,1.180186021e-01,0.000000000e+00,5.955660243e-02,3.511222e-16,1.532220e-17,6.732538e-18,1.637295e-03
0.490000,3.922927562e-02,1.638762185e-01,9.065503511e-02,8.184645326e-02,1.222885162e-02,1.150091833e-01,0.000000000e+00,5.889626148e-02,2.326604e-16,1.044442e-17,1.886294e-17,1.630663e-03
0.500000,3.925443972e-02,1.630313716e-01,9.019214641e-02,8.142543981e-02,1.190811359e-02,1.132218678e-01,0.000000000e+00,5.824255497e-02,4.506612e-16,4.266856e-17,7.176239e-18,1.633034e-03
0.510000,3.927495649e-02,1.621891251e-01,8.972034256e-02,8.100570769e-02,1.159375133e-02,1.125682333e-01,0.000000000e+00,5.759558793e-02,6.257040e-17,3.556183e-17,1.612840e-17,1.694262e-03
0.520000,3.929084671e-02,1.613495989e-01,8.924092986e-02,8.058731694e-02,1.128575805e-02,1.129351352e-01,0.000000000e+00,5.695544368e-02,3.377191e-16,1.947343e-17,1.408128e-17,1.630474e-03
0.530000,3.930213731e-02,1.605129027e-01,8.875510472e-02,8.017032246e-02,1.098411762e-02,1.141932866e-01,0.000000000e+00,5.632218585e-02,5.558092e-16,2.470935e-17,2.320598e-17,1.629904e-03
0.540000,3.930886093e-02,1.596791368e-01,8.826396137e-02,7.975477443e-02,1.068880532e-02,1.162069536e-01,0.000000000e+00,5.569586027e-02,1.584212e-16,1.035626e-17,3.909147e-18,1.694142e-03
0.550000,3.931105555e-02,1.588483926e-01,8.776849914e-02,7.934071864e-02,1.039978862e-02,1.188426989e-01,0.000000000e+00,5.507649662e-02,6.766168e-16,5.353983e-17,1.600805e-17,1.639665e-03
0.560000,3.930876406e-02,1.580207534e-01,8.726962924e-02,7.892819681e-02,1.011702771e-02,1.219759010e-01,0.000000000e+00,5.446411010e-02,1.001613e-15,4.347205e-17,6.378390e-18,1.708754e-03
0.570000,3.930203386e-02,1.571962949e-01,8.676818107e-02,7.851724689e-02,9.840476243e-03,1.254946999e-01,0.000000000e+00,5.385870288e-02,2.220823e-16,4.368406e-17,3.666912e-17,1.645846e-03
0.580000,3.929091656e-02,1.563750858e-01,8.626490822e-02,7.810790334e-02,9.570081826e-03,1.293016909e-01,0.000000000e+00,5.326026544e-02,2.326923e-16,7.961322e-18,1.086152e-17,1.648616e-03
0.590000,3.927546757e-02,1.555571881e-01,8.576049402e-02,7.770019739e-02,9.305786612e-03,1.333139770e-01,0.000000000e+00,5.266877788e-02,2.230457e-16,5.903797e-17,5.987702e-18,1.643636e-03
0.600000,3.925574577e-02,1.547426582e-01,8.525555676e-02,7.729415724e-02,9.047527795e-03,1.374622101e-01,0.000000000e+00,5.208421101e-02,3.337901e-16,1.154153e-17,1.854493e-17,2.157346e-03
