t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
1.000000000e-01,1.246369892e-04,8.566581671e-04,3.099207357e-03,4.283290707e-04,9.173594361e-05,2.590559380e-01,3.077225161e+00,5.488602381e-02,2.220446051e-16,2.032889844e-20,1.894023249e-21,1.443008994e-03,1.841976919e-04,-1.011308506e-01,-1.005610079e-01,-2.520590497e-04,-5.784205132e-05,7.578405784e-04,6.766092850e-04,-1.089220300e+00,-2.797712717e+00,-6.750680734e-01,-5.107232376e-05,1.377222802e-04,2.616886309e-01,5.896562771e-05,2.181323412e-01,2.616031472e-01,1.589507009e-05,2.182121650e-01,3.874000311e-01,-9.949997813e-02,9.499999881e-02,1.319469234e+00,2.274194732e-02,0,0,0,6.764470600e-04,-1.089209676e+00,-2.797724724e+00,-6.750720739e-01,-5.110789789e-05,1.365491044e-04
1.100000000e-01,1.470491667e-04,8.812726007e-04,9.099440479e-03,4.406362866e-04,9.189118817e-05,2.773098149e-01,3.078052552e+00,5.489282224e-02,2.224778634e-16,1.355624896e-20,1.355418142e-20,1.392869002e-03,2.251832630e-04,-1.013354585e-01,-1.006783247e-01,-2.804921824e-04,-5.221433094e-05,7.469137199e-04,1.107372564e-03,-1.094028175e+00,-2.796886217e+00,-6.744895096e-01,-8.434567211e-05,1.282715268e-04,2.616986358e-01,6.866471633e-05,2.181494978e-01,2.615978638e-01,1.913680943e-05,2.182444475e-01,3.874000311e-01,-9.949997067e-02,9.499999881e-02,1.319469234e+00,2.524194494e-02,0,0,0,1.107445452e-03,-1.094015718e+00,-2.796897411e+00,-6.744934320e-01,-8.434150368e-05,1.271707733e-04
1.200000000e-01,1.698097106e-04,9.101903164e-04,8.011953523e-03,4.550951423e-04,9.296251274e-05,2.828835412e-01,3.077400197e+00,5.489949306e-02,1.483352048e-20,3.389785747e-21,6.894348694e-21,1.451898002e-03,2.697067684e-04,-1.015451849e-01,-1.008063629e-01,-3.040308366e-04,-4.411887858e-05,7.355182315e-04,8.106917181e-04,-1.091842293e+00,-2.796990793e+00,-6.746215283e-01,-8.453410264e-05,1.214017599e-04,2.617084857e-01,7.883821290e-05,2.181695421e-01,2.615921023e-01,2.266806209e-05,2.182797018e-01,3.874000311e-01,-9.950000048e-02,9.499999881e-02,1.319469234e+00,2.774193604e-02,0,0,0,8.107232861e-04,-1.091829181e+00,-2.797001123e+00,-6.746255159e-01,-8.450972382e-05,1.202525018e-04
1.300000000e-01,1.925915745e-04,9.416193257e-04,3.987164725e-03,4.708096457e-04,9.431704042e-05,3.032015594e-01,3.077119186e+00,5.490569475e-02,2.220446059e-16,5.421010862e-20,0.000000000e+00,1.364387994e-03,3.168167605e-04,-1.017544195e-01,-1.009458080e-01,-3.164661466e-04,-3.618853589e-05,7.210583426e-04,6.734787351e-04,-1.087627968e+00,-2.798170379e+00,-6.752554602e-01,-1.910785975e-05,1.483728507e-04,2.617176927e-01,8.971982419e-05,2.181925510e-01,2.615858668e-01,2.648544154e-05,2.183179100e-01,3.874000311e-01,-9.950000048e-02,9.499999881e-02,1.319469234e+00,3.024193738e-02,0,0,0,6.734129274e-04,-1.087616920e+00,-2.798178196e+00,-6.752592325e-01,-1.912878361e-05,1.471251162e-04
1.400000000e-01,2.151172705e-04,9.773174782e-04,4.036082268e-03,4.886587200e-04,9.685421789e-05,3.202806350e-01,3.076934817e+00,5.491150982e-02,2.224778632e-16,2.456401252e-20,3.054020723e-21,1.449507996e-03,3.668421996e-04,-1.019641906e-01,-1.010960937e-01,-3.210546856e-04,-2.572903031e-05,7.084580138e-04,6.480896056e-04,-1.086960151e+00,-2.798216192e+00,-6.753008237e-01,-9.556595213e-06,1.389927343e-04,2.617263752e-01,1.009015658e-04,2.182188427e-01,2.615791615e-01,3.058555257e-05,2.183590540e-01,3.874000311e-01,-9.949997813e-02,9.499999881e-02,1.319469234e+00,3.274194896e-02,0,0,0,6.480955635e-04,-1.086947799e+00,-2.798223019e+00,-6.753040552e-01,-9.533541743e-06,1.378151792e-04
1.500000000e-01,2.374570272e-04,1.015899427e-03,7.731084550e-03,5.079496920e-04,1.005317007e-04,3.165189106e-01,3.077187378e+00,5.491701376e-02,2.224778645e-16,6.791629776e-21,1.024349691e-20,1.437828003e-03,4.203120188e-04,-1.021759957e-01,-1.012574434e-01,-3.187738766e-04,-1.223112213e-05,6.967016379e-04,7.901360125e-04,-1.089590789e+00,-2.797566661e+00,-6.749031029e-01,-9.683681431e-05,1.279686492e-04,2.617346420e-01,1.124285698e-04,2.182484238e-01,2.615719902e-01,3.496499165e-05,2.184031159e-01,3.874000311e-01,-9.949999303e-02,9.499999881e-02,1.319469234e+00,3.524195962e-02,0,0,0,7.900872733e-04,-1.089578867e+00,-2.797573328e+00,-6.749065518e-01,-9.675353067e-05,1.266892941e-04
1.600000000e-01,2.594914709e-04,1.055542120e-03,6.747371790e-03,5.277710356e-04,1.053105579e-04,3.475167269e-01,3.076458524e+00,5.492216998e-02,2.224778644e-16,1.701494234e-21,1.016439537e-20,1.450267999e-03,4.772077373e-04,-1.023887992e-01,-1.014293432e-01,-3.099322203e-04,4.666673703e-06,6.849864149e-04,6.580146621e-04,-1.087448211e+00,-2.797573521e+00,-6.750076852e-01,-1.285310430e-04,1.163250195e-04,2.617424399e-01,1.242296940e-04,2.182813663e-01,2.615643570e-01,3.962034724e-05,2.184500777e-01,3.874000311e-01,-9.950000048e-02,9.499999881e-02,1.319469234e+00,3.774194792e-02,0,0,0,6.580112386e-04,-1.087435842e+00,-2.797577858e+00,-6.750108600e-01,-1.286137558e-04,1.150207972e-04
1.700000000e-01,2.809979178e-04,1.095092702e-03,8.073726154e-03,5.475463239e-04,1.110066025e-04,3.462213327e-01,3.076874442e+00,5.492685026e-02,2.220446055e-16,6.779571493e-21,1.371696568e-20,1.119588997e-03,5.369540886e-04,-1.026002690e-01,-1.016117483e-01,-2.931627387e-04,2.357606718e-05,6.726142019e-04,7.414935151e-04,-1.088390079e+00,-2.797669395e+00,-6.749879592e-01,-9.909237703e-05,1.281201087e-04,2.617495858e-01,1.364088320e-04,2.183178535e-01,2.615562656e-01,4.454820012e-05,2.184999215e-01,3.874000311e-01,-9.950000048e-02,9.499999881e-02,1.319469234e+00,4.024193995e-02,0,0,0,7.414377760e-04,-1.088378429e+00,-2.797673225e+00,-6.749906540e-01,-9.915715782e-05,1.268453925e-04
1.800000000e-01,3.020236406e-04,1.134290184e-03,1.055922351e-02,5.671450614e-04,1.177436555e-04,3.468595158e-01,3.077325549e+00,5.493113491e-02,1.110223046e-16,6.778124479e-21,2.117582368e-21,1.410269004e-03,5.999523564e-04,-1.028118283e-01,-1.018046513e-01,-2.696942829e-04,4.571710451e-05,6.602052599e-04,8.853990732e-04,-1.090371118e+00,-2.797435110e+00,-6.748180237e-01,-3.604997884e-05,1.284867195e-04,2.617561950e-01,1.488473105e-04,2.183578595e-01,2.615477200e-01,4.974512368e-05,2.185526291e-01,3.874000311e-01,-9.950000048e-02,9.499999881e-02,1.319469234e+00,4.274194688e-02,0,0,0,8.855541819e-04,-1.090358019e+00,-2.797437191e+00,-6.748210192e-01,-3.595731687e-05,1.273201487e-04
1.900000000e-01,3.225470937e-04,1.173034900e-03,1.179837056e-02,5.865174163e-04,1.252996960e-04,3.502683597e-01,3.077456529e+00,5.493494637e-02,1.027900307e-20,2.033871448e-20,8.470329473e-22,1.450508003e-03,6.660472136e-04,-1.030221730e-01,-1.020081490e-01,-2.378715581e-04,7.053886657e-05,6.475635455e-04,9.408635197e-04,-1.091150953e+00,-2.797292826e+00,-6.747445640e-01,-4.931779542e-05,1.286049752e-04,2.617621561e-01,1.616053862e-04,2.184013150e-01,2.615387240e-01,5.520768429e-05,2.186081827e-01,3.874000311e-01,-9.949997067e-02,9.499999881e-02,1.319469234e+00,4.524195381e-02,0,0,0,9.410069324e-04,-1.091139555e+00,-2.797293186e+00,-6.747470498e-01,-4.932092270e-05,1.273915987e-04
