t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
0.000000000e+00,2.360344501e-10,4.214684851e-08,0.000000000e+00,7.850462293e-17,2.360343530e-10,8.005581081e-08,3.076347321e+00,4.652178912e-02,4.440922711e-16,0.000000000e+00,0.000000000e+00,1.903163399e-02,0.000000000e+00,-3.999999911e-02,-3.999999911e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.282939503e-13,-1.110178847e+00,-2.789057743e+00,-6.727352042e-01,6.747271181e-15,1.304542503e-04,2.605210118e-01,2.261532627e-18,2.022571840e-01,2.605210118e-01,-2.549404298e-17,2.022571842e-01,3.874000013e-01,-9.950001538e-02,8.249998838e-02,1.319469106e+00,1.400000006e-01,0,0,0,-1.140522272e-07,-1.110179901e+00,-2.789054632e+00,-6.727352142e-01,2.095475793e-08,1.303809695e-04
1.000000000e-02,2.228130150e-03,2.071586873e-03,7.948654884e-02,1.035793251e-03,2.747279308e-03,4.016745565e+00,2.813708733e+00,4.834196583e-02,2.235540651e-16,5.558867669e-18,2.608042917e-18,1.756644400e-02,-3.349612598e-05,-5.263845250e-02,-5.023131892e-02,-3.504789784e-04,-1.907343685e-04,-1.923769742e-04,-2.637336883e-04,-1.071635036e+00,-2.530002555e+00,-6.063350366e-01,-7.002517374e-05,6.638197550e-05,2.607990868e-01,2.624248636e-05,2.044677670e-01,2.605210119e-01,-2.549404298e-17,2.022572129e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999782e-01,0,0,0,-2.636537538e-04,-1.071612835e+00,-2.529971123e+00,-6.063079238e-01,-6.993627176e-05,6.555380241e-05
2.000000000e-02,3.399552826e-03,2.421755248e-03,2.944580791e-01,1.210877328e-03,3.986184984e-03,2.084509124e+01,4.949206673e+00,4.914921398e-02,1.410539542e-16,3.353167575e-17,2.136542474e-17,1.787126300e-02,-8.384764806e-05,-5.897545815e-02,-5.477266386e-02,-1.848316286e-03,-4.756888375e-04,-4.102840321e-04,3.176340631e-04,-4.769359457e-01,-4.761805741e+00,-1.261897271e+00,4.946572086e-06,2.310403964e-04,2.609869985e-01,6.535207852e-05,2.056242424e-01,2.605210121e-01,-2.549404298e-17,2.022574123e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,1,0,3.176435421e-04,-4.766936898e-01,-4.761694431e+00,-1.261820078e+00,5.011592293e-06,2.299901098e-04
3.000000000e-02,7.082190456e-03,8.704541133e-04,4.463385641e-02,4.352270431e-04,7.095915019e-03,2.011327417e+01,2.970611729e+00,5.125239799e-02,2.399523400e-16,2.964634103e-18,7.629317493e-19,1.766620400e-02,-1.354746782e-04,-6.939475983e-02,-6.661096960e-02,-2.731311368e-03,-7.189663011e-04,-6.438188720e-04,-3.963447930e-04,-1.957323986e+00,-2.192591867e+00,-4.312280125e-01,2.461097740e-05,6.930233465e-05,2.610944694e-01,9.647675639e-05,2.093162261e-01,2.605210127e-01,-2.549404298e-17,2.022579500e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,1,0,-3.962165501e-04,-1.957349777e+00,-2.193160057e+00,-4.314146340e-01,2.450305328e-05,6.871944061e-05
4.000000000e-02,9.741162009e-03,1.221075426e-03,6.283533372e-02,6.105376752e-04,9.849425844e-03,3.797625939e+00,2.827250282e+00,5.308152995e-02,7.699190706e-17,8.171111879e-18,8.688493873e-19,1.746057400e-02,-1.730164950e-04,-8.109880984e-02,-7.692017406e-02,-3.747673938e-03,-9.219632484e-04,-8.630082011e-04,5.215939952e-05,-1.067131151e+00,-2.546263392e+00,-6.091945333e-01,2.991921959e-05,1.375815788e-04,2.613999039e-01,1.238488256e-04,2.119596321e-01,2.605210138e-01,-2.549404298e-17,2.022589904e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999782e-01,0,0,0,5.215839337e-05,-1.067146063e+00,-2.546239376e+00,-6.091739535e-01,2.984458115e-05,1.370773825e-04
5.000000000e-02,1.442806432e-02,8.246428678e-03,9.162539383e-02,4.123202656e-03,1.239820050e-02,5.799265284e+00,2.807689140e+00,5.449431222e-02,2.265939142e-16,5.547568009e-18,2.624934194e-18,1.759714400e-02,-2.249261743e-04,-8.395319432e-02,-8.688475192e-02,-5.199979991e-03,-1.104058814e-03,-1.047615078e-03,-3.779977129e-04,-9.726304449e-01,-2.559632786e+00,-6.207964083e-01,-1.759664299e-05,5.867216232e-05,2.610919051e-01,1.437412245e-04,2.166767429e-01,2.605210156e-01,-2.549404298e-17,2.022606940e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,-3.780498519e-04,-9.725866914e-01,-2.559745312e+00,-6.208457947e-01,-1.768034417e-05,5.849079753e-05
6.000000000e-02,1.144343263e-02,2.739653688e-03,5.471866668e-02,1.369826415e-03,1.088108053e-02,1.196456595e+00,3.038333615e+00,5.376202348e-02,3.348944054e-16,3.776819611e-18,6.540410852e-19,1.930537401e-02,-2.492832136e-04,-8.445714414e-02,-8.075781912e-02,-5.973362830e-03,-1.202194369e-03,-1.192677300e-03,4.092308643e-05,-1.064669615e+00,-2.766078305e+00,-6.684014950e-01,-3.171197006e-05,1.206237106e-04,2.614538635e-01,1.552877651e-04,2.136675088e-01,2.605210184e-01,-2.549404298e-17,2.022632186e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,4.103193714e-05,-1.064721107e+00,-2.766124487e+00,-6.684308052e-01,-3.177905455e-05,1.201401465e-04
7.000000000e-02,1.252893642e-02,5.370332542e-03,1.202053191e-01,2.685163045e-03,1.126648159e-02,4.785577697e+00,2.897064933e+00,5.404899443e-02,4.443446135e-16,8.905120321e-18,2.602402832e-18,1.734711400e-02,-2.993831877e-04,-8.324607462e-02,-8.237501979e-02,-5.957748741e-03,-1.337157562e-03,-1.370270271e-03,-2.582941237e-04,-9.718053812e-01,-2.651746369e+00,-6.456164734e-01,-1.444972510e-04,2.981487395e-05,2.612802334e-01,1.669892016e-04,2.147715155e-01,2.605210222e-01,-2.549404298e-17,2.022667180e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,-2.583317691e-04,-9.717746973e-01,-2.651866913e+00,-6.456787586e-01,-1.445363450e-04,2.983167360e-05
8.000000000e-02,1.284605153e-02,6.205290857e-03,2.134700756e-01,3.102640450e-03,1.137135104e-02,4.666188064e+00,2.700603816e+00,5.413526660e-02,5.565058892e-16,1.261017880e-17,1.387981425e-17,1.798392400e-02,-3.319623647e-04,-8.261520416e-02,-8.286108077e-02,-5.687074270e-03,-1.369687961e-03,-1.487898640e-03,2.713356700e-04,-1.162096304e+00,-2.373581090e+00,-5.557929974e-01,6.822214817e-05,1.589668516e-04,2.612071021e-01,1.644645784e-04,2.150980065e-01,2.605210272e-01,-2.549404298e-17,2.022713432e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469069e+00,1.399999931e-01,0,0,0,2.713584399e-04,-1.162139177e+00,-2.373429775e+00,-5.557117462e-01,6.830622442e-05,1.587934385e-04
9.000000000e-02,1.159938167e-02,3.368778934e-03,1.554463010e-01,1.684388670e-03,1.092564094e-02,3.435010409e+00,3.016744953e+00,5.378435039e-02,2.228251794e-16,4.979675810e-18,3.480018757e-18,1.820413400e-02,-3.700462112e-04,-8.514921367e-02,-8.088412136e-02,-7.004113868e-03,-1.490175258e-03,-1.607344486e-03,-6.624580659e-06,-9.767532957e-01,-2.772697434e+00,-6.773861798e-01,-7.814724593e-07,1.208967209e-04,2.615001663e-01,1.765027470e-04,2.138338760e-01,2.605210336e-01,-2.549404298e-17,2.022772415e-01,3.874000013e-01,-9.950000793e-02,8.249999583e-02,1.319469069e+00,1.400000080e-01,0,0,0,-6.675887562e-06,-9.767487049e-01,-2.772835970e+00,-6.774662733e-01,-9.387731552e-07,1.205145963e-04
