t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
1.000000000e-01,2.103878085e-04,1.362800028e-03,1.683362643e-02,6.813999610e-04,5.057529015e-04,4.822505717e-01,3.069592304e+00,4.685384141e-02,4.208822028e-17,7.837657544e-19,7.199780052e-21,1.893778300e-02,-2.958476034e-05,-4.381784052e-02,-4.186653346e-02,-6.004857132e-04,-1.475869212e-04,-1.364322379e-04,5.664297742e-05,-1.091422523e+00,-2.788690526e+00,-6.740911797e-01,-2.947901548e-05,1.328103086e-04,2.606645314e-01,1.935354889e-05,2.024371979e-01,2.605210415e-01,-2.549404298e-17,2.022845574e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,5.663314369e-05,-1.091411114e+00,-2.788728714e+00,-6.741062999e-01,-2.941969433e-05,1.322041790e-04
1.100000000e-01,1.971748385e-04,1.587404126e-03,8.579349209e-03,7.937019791e-04,5.202467527e-04,3.473096969e-01,3.070932048e+00,4.686517123e-02,6.663491055e-16,3.564248347e-19,6.776263578e-21,1.797388200e-02,-3.514869968e-05,-4.417920113e-02,-4.193035141e-02,-6.756235962e-04,-1.743165776e-04,-1.596757647e-04,3.165755284e-04,-1.096237857e+00,-2.788421765e+00,-6.734910116e-01,1.298872138e-05,1.454722063e-04,2.606840015e-01,2.280434703e-05,2.024020826e-01,2.605210511e-01,-2.549404298e-17,2.022934316e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,3.166122769e-04,-1.096227288e+00,-2.788455486e+00,-6.735041142e-01,1.296476694e-05,1.447668619e-04
1.200000000e-01,1.943360289e-04,1.783533226e-03,1.163433537e-02,8.917664944e-04,5.302919035e-04,3.859849008e-01,3.074579728e+00,4.687505479e-02,6.666713620e-16,3.887512133e-19,4.083586161e-20,1.789873200e-02,-4.068045018e-05,-4.449925572e-02,-4.198602587e-02,-7.465345552e-04,-2.019764943e-04,-1.839591714e-04,-3.536927247e-04,-1.093666224e+00,-2.793123726e+00,-6.748291657e-01,-1.108467209e-04,7.439808598e-05,2.607013016e-01,2.643402280e-05,2.023716896e-01,2.605210625e-01,-2.549404298e-17,2.023040021e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,-3.537178854e-04,-1.093657017e+00,-2.793154001e+00,-6.748403311e-01,-1.108990255e-04,7.356901915e-05
1.300000000e-01,2.000401660e-04,1.952585069e-03,6.182898646e-03,9.762923793e-04,5.368316216e-04,2.700165458e-01,3.074682837e+00,4.688420434e-02,7.478792951e-17,3.256206307e-19,3.492406310e-21,1.874768500e-02,-4.813728447e-05,-4.478058964e-02,-4.203755781e-02,-8.112111827e-04,-2.356986224e-04,-2.135305403e-04,3.176578560e-04,-1.097833406e+00,-2.791757076e+00,-6.741874058e-01,2.093247542e-05,1.760835256e-04,2.607163852e-01,3.067336836e-05,2.023468913e-01,2.605210759e-01,-2.549404298e-17,2.023164032e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,3.175298625e-04,-1.097826838e+00,-2.791784048e+00,-6.741970181e-01,2.088723704e-05,1.753009274e-04
1.400000000e-01,2.119325379e-04,2.099300916e-03,2.446312570e-03,1.049650265e-03,5.397947637e-04,2.519630609e-01,3.075282400e+00,4.689255162e-02,6.686206554e-16,8.553886673e-20,3.813118522e-21,1.776216400e-02,-5.513336873e-05,-4.503638670e-02,-4.208457097e-02,-8.772921865e-04,-2.676861768e-04,-2.416601055e-04,1.562251307e-04,-1.098383755e+00,-2.792228490e+00,-6.740734285e-01,1.180408495e-05,1.270209119e-04,2.607301144e-01,3.471461011e-05,2.023263248e-01,2.605210915e-01,-2.549404298e-17,2.023307665e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,1.562772377e-04,-1.098377109e+00,-2.792252064e+00,-6.740819216e-01,1.179950777e-05,1.263646554e-04
1.500000000e-01,2.277875561e-04,2.225239532e-03,1.567843571e-03,1.112619536e-03,5.394422322e-04,1.691528537e-01,3.077449718e+00,4.690038905e-02,3.344038135e-16,5.977213837e-20,1.707249486e-21,1.811883999e-02,-6.015597319e-05,-4.526803270e-02,-4.212870821e-02,-9.427362238e-04,-2.960255079e-04,-2.669559035e-04,3.889723748e-04,-1.100941081e+00,-2.793577887e+00,-6.742016920e-01,-4.470725607e-05,1.325962293e-04,2.607424872e-01,3.860138868e-05,2.023099519e-01,2.605211093e-01,-2.549404298e-17,2.023472201e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,3.889007785e-04,-1.100935221e+00,-2.793599129e+00,-6.742088795e-01,-4.467182589e-05,1.318336872e-04
1.600000000e-01,2.509329523e-04,2.407585068e-03,1.139711731e-02,1.203792243e-03,5.588212199e-04,1.005630546e+00,3.026168863e+00,4.692221394e-02,1.973876603e-17,8.896574830e-19,5.789642139e-20,1.827283901e-02,-6.341098924e-05,-4.564067721e-02,-4.225147143e-02,-1.012779772e-03,-3.201044165e-04,-2.888547897e-04,8.337031230e-04,-1.087790920e+00,-2.745094263e+00,-6.624693576e-01,-1.960975039e-04,7.780095651e-05,2.607596949e-01,4.216742241e-05,2.023004993e-01,2.605211295e-01,-2.549404298e-17,2.023658891e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,8.337248582e-04,-1.087772489e+00,-2.745111942e+00,-6.624747515e-01,-1.960990921e-04,7.723317685e-05
1.700000000e-01,2.567076997e-04,2.488855678e-03,8.078496225e-03,1.244427518e-03,6.475287465e-04,8.937016984e-01,3.034524203e+00,4.699460363e-02,6.636675119e-17,7.748999293e-19,1.848668812e-19,1.816788099e-02,-6.545356155e-05,-4.619099200e-02,-4.265829921e-02,-1.078752219e-03,-3.418598208e-04,-3.106258227e-04,-1.077398568e-05,-1.088256291e+00,-2.753583118e+00,-6.646919343e-01,6.212610103e-05,1.456431053e-04,2.607737473e-01,4.562369464e-05,2.023905070e-01,2.605211523e-01,-2.549404298e-17,2.023868955e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,-1.076035915e-05,-1.088239670e+00,-2.753601074e+00,-6.646962166e-01,6.214960013e-05,1.450181153e-04
1.800000000e-01,2.762686026e-04,2.554021326e-03,7.247904127e-03,1.277010316e-03,7.189962222e-04,7.718588419e-01,3.043111986e+00,4.705699748e-02,5.572354356e-16,1.238493824e-18,1.184029664e-19,1.800053300e-02,-6.763000420e-05,-4.667368531e-02,-4.300896823e-02,-1.149816671e-03,-3.635871690e-04,-3.332743072e-04,-4.923302805e-04,-1.089254310e+00,-2.762167591e+00,-6.666974914e-01,-1.078449471e-04,6.844165017e-05,2.607864831e-01,4.903992994e-05,2.024697927e-01,2.605211777e-01,-2.549404298e-17,2.024103582e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,-4.923159140e-04,-1.089238882e+00,-2.762181997e+00,-6.667008400e-01,-1.079097128e-04,6.776570808e-05
1.900000000e-01,3.001649544e-04,2.602075656e-03,6.794043326e-03,1.301037461e-03,7.758360479e-04,6.399224130e-01,3.049066433e+00,4.711140095e-02,2.222490246e-16,1.554597406e-18,1.038367046e-19,1.835411001e-02,-7.120920782e-05,-4.708923772e-02,-4.331473634e-02,-1.217001001e-03,-3.897234565e-04,-3.591123095e-04,-4.051658302e-04,-1.092063595e+00,-2.767354429e+00,-6.677967552e-01,-8.953213207e-05,7.958661866e-05,2.607973175e-01,5.289889635e-05,2.025415740e-01,2.605212058e-01,-2.549404298e-17,2.024363930e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,-4.053324519e-04,-1.092052221e+00,-2.767368555e+00,-6.677988768e-01,-8.950196207e-05,7.884243678e-05
