t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed
1.000000000e-01,2.814822401e-03,3.578539076e-03,2.344387574e-02,1.789268584e-03,6.985901657e-04,4.895770548e-01,5.883317170e+00,1.362374642e-01,1.618623430e-17,4.142730684e-18,1.714274155e-19,1.304411100e-02,-2.765677273e-01,-2.487818480e+00,-1.487681746e+00,-8.561128378e-01,-6.928398013e-01,4.764500633e-02,1.075805598e-01,5.386924590e+00,-2.278138382e+00,-6.263671610e-01,-2.530790039e-02,4.905287843e-05,6.311618335e-01,-5.740315353e-02,9.180533429e-02,6.314248752e-01,-5.728081627e-02,8.900550076e-02,4.846000075e-01,-1.231999993e-01,2.249997482e-02,1.977458018e+00,6.999954209e-02,0,0
1.100000000e-01,3.185601958e-03,4.052061901e-03,1.844513641e-02,2.026029565e-03,7.896344357e-04,3.787399886e-01,5.856725572e+00,1.362639700e-01,1.187945235e-16,3.387155867e-18,1.818262319e-19,1.208076200e-02,-2.765487134e-01,-2.487051725e+00,-1.487340689e+00,-8.560973406e-01,-6.928264499e-01,4.755013809e-02,6.567793840e-02,5.362677998e+00,-2.269295215e+00,-6.231851375e-01,-2.334588659e-02,7.799941866e-05,6.311304396e-01,-5.738388962e-02,9.212982501e-02,6.314248861e-01,-5.728080936e-02,8.895953550e-02,4.846000075e-01,-1.231999546e-01,2.249993198e-02,1.977458018e+00,6.999948621e-02,0,0
1.200000000e-01,3.553819130e-03,4.524759490e-03,1.383333027e-02,2.262377815e-03,8.791679433e-04,6.309095440e-01,5.808162590e+00,1.362901892e-01,2.630037598e-16,1.479648008e-18,2.170785318e-19,1.392659000e-02,-2.765047550e-01,-2.486302614e+00,-1.487003446e+00,-8.560938239e-01,-6.928045750e-01,4.745368659e-02,-6.635786188e-02,5.316626995e+00,-2.254363232e+00,-6.175594811e-01,-1.712773484e-02,2.120715122e-04,6.311012588e-01,-5.735035479e-02,9.244758117e-02,6.314248980e-01,-5.728080181e-02,8.890921284e-02,4.846000075e-01,-1.231999770e-01,2.249994688e-02,1.977458018e+00,6.999953464e-02,0,0
1.300000000e-01,3.915711592e-03,4.988605559e-03,1.911802965e-02,2.494300193e-03,9.674417812e-04,6.108784262e-01,5.827339869e+00,1.363156381e-01,2.223222581e-16,4.755682003e-18,3.588221922e-19,1.120023500e-02,-2.764613032e-01,-2.485582829e+00,-1.486676216e+00,-8.561031222e-01,-6.927781105e-01,4.736219347e-02,-7.862596677e-02,5.332869771e+00,-2.264369165e+00,-6.201372458e-01,-1.643075425e-02,1.783523780e-04,6.310732913e-01,-5.731816872e-02,9.275425164e-02,6.314249109e-01,-5.728079360e-02,8.885453832e-02,4.846000075e-01,-1.231999844e-01,2.249997109e-02,1.977458018e+00,6.999957934e-02,0,0
1.400000000e-01,4.268364012e-03,5.438219109e-03,1.568844625e-02,2.719106204e-03,1.055569395e-03,4.398585091e-01,5.818201838e+00,1.363405465e-01,2.227499102e-16,9.199760500e-19,1.032129718e-19,1.301026100e-02,-2.764373422e-01,-2.484893799e+00,-1.486355782e+00,-8.561202884e-01,-6.927570105e-01,4.726978391e-02,-2.170737282e-02,5.326268174e+00,-2.258037259e+00,-6.186936840e-01,-1.883099296e-02,1.407246912e-04,6.310438711e-01,-5.729740463e-02,9.304680633e-02,6.314249249e-01,-5.728078474e-02,8.879551792e-02,4.846000075e-01,-1.231999621e-01,2.249996923e-02,1.977458018e+00,6.999960169e-02,0,0
1.500000000e-01,4.610830346e-03,5.876379807e-03,1.671531555e-02,2.938185676e-03,1.140453634e-03,4.419729848e-01,5.817370329e+00,1.363645680e-01,4.970520100e-17,2.742838647e-18,2.206191582e-19,1.259457800e-02,-2.764263451e-01,-2.484242201e+00,-1.486046791e+00,-8.561532497e-01,-6.927363873e-01,4.718016461e-02,-1.469434846e-02,5.325120732e+00,-2.258658432e+00,-6.186828097e-01,-1.909106188e-02,1.351231754e-04,6.310146373e-01,-5.728501736e-02,9.332469449e-02,6.314249399e-01,-5.728077523e-02,8.873215812e-02,4.846000075e-01,-1.231999621e-01,2.249995619e-02,1.977458018e+00,6.999959052e-02,0,0
1.600000000e-01,4.940432949e-03,6.296129629e-03,1.795382314e-02,3.148059615e-03,1.224344155e-03,4.453159461e-01,5.817199073e+00,1.363881117e-01,1.111442083e-16,2.949348775e-18,1.396962524e-19,1.126309600e-02,-2.764252722e-01,-2.483627796e+00,-1.485743880e+00,-8.561989069e-01,-6.927142739e-01,4.709153622e-02,-9.218422200e-03,5.324651424e+00,-2.259328922e+00,-6.187624317e-01,-1.931703948e-02,1.347995315e-04,6.309847671e-01,-5.727909299e-02,9.358524921e-02,6.314249559e-01,-5.728076507e-02,8.866446587e-02,4.846000075e-01,-1.231999770e-01,2.249991708e-02,1.977458018e+00,6.999958679e-02,0,0
1.700000000e-01,5.259216270e-03,6.701577688e-03,1.950034614e-02,3.350782574e-03,1.306190822e-03,4.477827692e-01,5.817284770e+00,1.364107397e-01,5.582818818e-16,2.135630605e-18,1.278542855e-19,1.258665800e-02,-2.764307857e-01,-2.483050346e+00,-1.485452771e+00,-8.562562466e-01,-6.926916838e-01,4.700465128e-02,-6.804406715e-03,5.324360469e+00,-2.260216496e+00,-6.188596243e-01,-1.937870576e-02,1.272320222e-04,6.309555233e-01,-5.727767966e-02,9.383066997e-02,6.314249730e-01,-5.728075425e-02,8.859244858e-02,4.845999479e-01,-1.231999993e-01,2.249994129e-02,1.977458018e+00,6.999957934e-02,0,0
1.800000000e-01,5.565448860e-03,7.089028112e-03,2.874986299e-02,3.544506634e-03,1.386838558e-03,5.332794937e-01,5.838755311e+00,1.364328213e-01,3.349499034e-16,3.998340052e-18,2.829850750e-19,1.220651300e-02,-2.764382362e-01,-2.482509613e+00,-1.485168576e+00,-8.563248515e-01,-6.926718950e-01,4.691723362e-02,9.163986879e-02,5.343045969e+00,-2.268839570e+00,-6.215468035e-01,-2.391799159e-02,6.769232951e-05,6.309259723e-01,-5.727702178e-02,9.405914470e-02,6.314249910e-01,-5.728074279e-02,8.851611417e-02,4.846000075e-01,-1.231999621e-01,2.249993570e-02,1.977458018e+00,6.999955326e-02,0,0
1.900000000e-01,5.864131667e-03,7.469095320e-03,2.305862424e-02,3.734538979e-03,1.464633860e-03,4.748264607e-01,5.817957589e+00,1.364539876e-01,7.815006272e-16,2.263880600e-18,2.740828996e-19,1.269610900e-02,-2.764231265e-01,-2.481998920e+00,-1.484896183e+00,-8.564016223e-01,-6.926529408e-01,4.682515189e-02,-2.955512303e-02,5.324264305e+00,-2.261925766e+00,-6.191318435e-01,-1.828084451e-02,1.401509821e-04,6.308988530e-01,-5.726232919e-02,9.427592134e-02,6.314250101e-01,-5.728073069e-02,8.843547099e-02,4.846000075e-01,-1.231999770e-01,2.249995805e-02,1.977458018e+00,6.999954209e-02,0,0
